id	Inactivated1	Inactivated2	Normal1	Normal2
AAEL027625	0	0	0	0
AAEL024832	0	0	0	0
AAEL023466	0	0	0	0
AAEL028072	0	0	0	0
AAEL026947	0	0	0	0
AAEL020411	0	0	0	0
AAEL021252	0	0	0	0
AAEL025827	0	0	0	0
AAEL025497	0	0	0	0
AAEL027679	0	0	0	0
AAEL024009	0	0	0	0
AAEL026529	0	0	0	0
AAEL025121	0	0	0	0
AAEL026930	0	0	0	0
AAEL022311	0	0	0	0
AAEL020032	0	0	0	0
AAEL021112	0	0	0	0
AAEL020605	0	0	0	0
AAEL020449	0	0	0	0
AAEL024999	0	0	0	0
AAEL020406	0	0	0	0
AAEL027351	0	0	0	0
AAEL027608	0	0	0	0
AAEL026645	0	0	0	0
AAEL024143	0	0	0	0
AAEL022843	0	0	0	0
AAEL025817	0	0	0	0
AAEL024168	0	0	0	0
AAEL027845	0	0	0	0
AAEL026809	0	0	0	0
AAEL023224	0	0	0	0
AAEL027974	0	0	0	0
AAEL027501	0	0	0	0
AAEL020211	0	0	0	0
AAEL023305	0	0	0	0
AAEL027168	0	0	0	0
AAEL022670	0	0	0	0
AAEL020831	0	0	0	0
AAEL026417	1	0	0	0
AAEL024498	0	0	0	0
AAEL021778	0	0	0	0
AAEL025561	0	0	0	0
AAEL021405	0	0	0	0
AAEL020911	0	0	0	0
AAEL023956	0	0	0	0
AAEL022933	0	0	1	0
AAEL025881	0	2	1	2
AAEL000502	4	1	1	1
AAEL000477	1	3	1	1
AAEL021338	0	0	0	0
AAEL027334	0	0	0	0
AAEL026240	1	5	0	0
AAEL026879	0	0	0	0
AAEL023020	0	0	0	0
AAEL021742	2	2	4	4
AAEL024692	0	1	0	0
AAEL026189	0	0	0	1
AAEL022335	0	0	0	0
AAEL027873	0	0	0	0
AAEL025593	0	0	0	0
AAEL021346	28	35	28	7
AAEL011751	57	107	21	15
AAEL025082	13	6	16	7
AAEL028226	0	0	0	0
AAEL023285	0	0	0	0
AAEL024467	0	0	0	0
AAEL025730	0	0	0	0
AAEL027792	0	0	0	0
AAEL025644	0	0	0	0
AAEL025383	0	0	0	0
AAEL023071	0	0	0	0
AAEL024674	0	0	0	0
AAEL021896	0	0	0	0
AAEL023816	0	0	0	0
AAEL020965	0	0	0	0
AAEL025642	0	0	0	0
AAEL027388	0	0	0	0
AAEL025961	0	0	0	0
AAEL026362	0	0	0	0
AAEL022805	0	0	0	0
AAEL022792	0	0	0	0
AAEL023824	0	0	0	0
AAEL027615	0	0	0	0
AAEL024419	0	0	0	0
AAEL023067	0	0	0	0
AAEL025298	0	0	0	0
AAEL026623	0	0	0	0
AAEL023289	0	3	1	0
AAEL020526	0	0	0	0
AAEL024387	52	62	21	61
AAEL005891	0	0	0	0
AAEL005877	5	15	18	1
AAEL022622	0	0	0	0
AAEL022818	0	0	0	0
AAEL005880	2	5	2	0
AAEL005892	6	17	7	13
AAEL025749	0	0	0	0
AAEL005893	27	35	7	14
AAEL022192	0	0	0	0
AAEL025590	0	0	0	0
AAEL025261	0	0	0	0
AAEL007496	0	0	0	0
AAEL022092	0	0	5	2
AAEL020504	0	0	0	0
AAEL023570	0	0	0	0
AAEL028197	0	0	0	0
AAEL022441	0	0	0	0
AAEL026876	0	0	0	0
AAEL021214	0	0	0	0
AAEL025205	1	0	1	1
AAEL024059	0	0	0	0
AAEL020171	0	0	0	0
AAEL020490	0	0	0	0
AAEL025103	0	0	0	0
AAEL021391	0	0	0	0
AAEL025980	0	0	0	0
AAEL027891	0	0	0	0
AAEL022302	0	0	0	0
AAEL011358	0	0	0	0
AAEL021629	2	3	2	4
AAEL024423	17	20	8	7
AAEL023690	0	0	0	0
AAEL027591	0	0	0	0
AAEL024881	0	0	0	0
AAEL023998	0	0	0	0
AAEL024731	0	0	0	0
AAEL020277	0	0	0	0
AAEL022974	0	0	0	0
AAEL022561	0	0	0	0
AAEL026562	0	0	0	0
AAEL011772	2	0	0	0
AAEL005245	19	46	38	59
AAEL024170	2	5	1	0
AAEL028733	0	0	0	0
AAEL028140	0	0	0	0
AAEL028889	0	0	0	0
AAEL028640	0	0	0	0
AAEL021312	0	0	0	0
AAEL024761	14	14	11	23
AAEL026970	0	0	0	0
AAEL028971	0	0	0	0
AAEL028651	0	0	0	0
AAEL022477	0	0	0	0
AAEL028163	4	14	4	10
AAEL010946	0	1	5	2
AAEL007581	0	0	0	0
AAEL007572	10	10	5	2
AAEL025019	0	0	0	0
AAEL023687	0	0	0	0
AAEL027892	0	0	0	0
AAEL021474	6	0	0	4
AAEL020451	0	0	0	0
AAEL028775	0	0	0	0
AAEL024534	0	0	0	0
AAEL024850	0	0	0	0
AAEL020229	0	0	0	0
AAEL022498	0	0	0	0
AAEL022058	0	0	0	0
AAEL028965	0	0	0	0
AAEL025711	1	0	0	0
AAEL011025	233	180	195	219
AAEL022629	0	0	0	0
AAEL027008	20	23	20	16
AAEL023548	0	0	0	0
AAEL020494	0	0	3	2
AAEL022212	0	0	0	0
AAEL021890	6	4	0	4
AAEL020716	0	0	0	0
AAEL020506	0	0	0	0
AAEL024313	0	0	0	0
AAEL022550	0	0	0	0
